OvertimePay,OtherPay,TotalPayBenefits,Status_Binary
0.0,47099.71,309170.92,0
0.0,37590.2,308587.04,0
0.0,37590.2,305541.51,0
11301.12,45879.17,299005.72,0
0.0,59220.5,298002.82,0
0.0,37761.23,297504.64,0
0.0,37690.69,297434.17,0
0.0,36196.59,296394.1,0
1455.48,22428.21,291751.87,0
0.0,37430.89,291705.63,0
0.0,35532.64,291586.51,0
0.0,40659.98,289243.24,0
0.0,20528.0,287898.44,0
0.0,20162.59,285003.26,0
0.0,20320.92,283307.03,0
0.0,18321.53,281839.4,0
0.0,16829.01,279815.14,0
0.0,34288.61,278148.32,0
0.0,31645.8,274995.7,0
0.0,34317.23,271230.43,0
15733.2,18376.26,269677.75,0
22234.59,250.0,269346.07,0
0.0,32113.6,267703.45,0
0.0,39950.65,267242.7,0
16275.76,16852.07,266253.57,0
0.0,19651.24,265604.01,0
0.0,33147.78,264352.69,0
0.0,30318.58,263978.92,0
9358.18,12965.48,262910.42,0
0.0,18624.2,262483.96,0
0.0,18624.2,262289.55,0
0.0,32078.19,262275.81,0
0.0,18586.72,261953.11,0
0.0,31195.06,261564.64,0
0.0,18548.95,261483.8,0
0.0,19248.0,261475.56,0
0.0,11173.5,260582.92,0
1100.4,25086.89,259511.65,0
2009.7,24257.1,258478.91,0
4245.15,21843.5,257572.85,1
0.0,20726.34,257550.55,0
0.0,0.0,257481.97,0
0.0,31557.41,256399.63,0
0.0,21691.6,255982.84,0
0.0,31643.88,255602.67,0
0.0,18090.66,255202.85,0
0.0,14693.31,254575.39,0
0.0,32060.2,254328.42,0
0.0,17975.3,253368.35,0
8782.12,12217.59,252885.3,0
0.0,17793.27,251375.34,0
0.0,17517.91,249642.59,0
0.0,8332.74,248325.34,0
9650.17,10246.41,247825.28,0
0.0,250.0,247175.67,0
0.0,250.0,247175.65,0
0.0,250.0,247175.65,0
0.0,250.0,247175.65,0
0.0,250.0,247173.69,0
0.0,250.0,247136.89,0
6856.4,368.38,247112.4,0
0.0,250.0,247111.61,0
0.0,19450.81,246674.23,0
0.0,19637.81,246547.59,0
12621.33,8298.07,245917.72,0
0.0,9888.07,244655.63,0
0.0,11568.34,244612.34,0
0.0,11613.59,244465.17,0
0.0,17122.8,244326.61,0
0.0,415.88,243515.74,0
0.0,250.0,242866.6,0
0.0,2179.44,242490.54,0
2079.15,250.0,242124.51,0
0.0,22997.22,241949.93,0
0.0,3951.52,241327.02,0
1174.69,250.0,241284.26,0
0.0,29847.1,241183.87,0
24633.99,285.05,240782.92,0
12909.46,17952.11,240777.2,0
9081.8,7150.9,240739.48,0
0.0,23078.87,240482.76,0
0.0,0.0,240044.55,0
0.0,0.0,239882.12,0
0.0,0.0,239859.6,0
0.0,250.0,239605.83,0
0.0,4099.09,239534.86,0
0.0,4684.91,238530.89,0
645.92,4014.78,237911.07,0
8038.51,33455.07,237795.09,0
10095.33,31986.63,237709.97,0
0.0,250.0,237488.72,0
0.0,14913.47,237464.31,0
0.0,14814.91,237266.27,0
12944.5,30730.78,236698.37,0
0.0,10226.86,236053.18,0
0.0,250.0,235901.51,0
8988.01,33050.05,235896.48,0
1792.66,1149.27,235866.15,0
0.0,13809.71,235802.28,0
0.0,30041.79,235791.49,0
0.0,4515.56,235424.53,0
0.0,29522.58,234987.96,0
0.0,5223.03,234622.25,0
0.0,16622.72,234161.93,1
6082.63,34441.51,234050.96,0
0.0,16484.9,233925.68,0
496.58,250.0,233694.21,0
12746.65,7095.83,233612.96,1
