JobTitle,BasePay,OvertimePay,OtherPay,Benefits,TotalPay,TotalPayBenefits,Status_Binary
Nursing Supervisor,199104.0,0.0,47099.71,62967.21,246203.71,309170.92,0
Nursing Supervisor,205280.01,0.0,37590.2,65716.83,242870.21,308587.04,0
Nursing Supervisor,205280.0,0.0,37590.2,62671.31,242870.2,305541.51,0
Nurse Manager,179541.01,11301.12,45879.17,62284.42,236721.3,299005.72,0
Nurse Manager,175179.0,0.0,59220.5,63603.32,234399.5,298002.82,0
Nursing Supervisor Psychiatric,199104.0,0.0,37761.23,60639.41,236865.23,297504.64,0
Nursing Supervisor,199104.06,0.0,37690.69,60639.42,236794.75,297434.17,0
Nursing Supervisor,199104.0,0.0,36196.59,61093.51,235300.59,296394.1,0
Nursing Supervisor,205280.01,1455.48,22428.21,62588.17,229163.7,291751.87,0
Nursing Supervisor,194192.23,0.0,37430.89,60082.51,231623.12,291705.63,0
Nursing Supervisor Psychiatric,195976.0,0.0,35532.64,60077.87,231508.64,291586.51,0
Nursing Supervisor,189206.0,0.0,40659.98,59377.26,229865.98,289243.24,0
Nursing Supervisor Psychiatric,205280.0,0.0,20528.0,62090.44,225808.0,287898.44,0
Nursing Supervisor,201625.79,0.0,20162.59,63214.88,221788.38,285003.26,0
Nursing Supervisor,205280.0,0.0,20320.92,57706.11,225600.92,283307.03,0
Nursing Supervisor,205280.0,0.0,18321.53,58237.87,223601.53,281839.4,0
Nursing Supervisor,205280.02,0.0,16829.01,57706.11,222109.03,279815.14,0
Nurse Manager,186242.01,0.0,34288.61,57617.7,220530.62,278148.32,0
Nursing Supervisor,185791.57,0.0,31645.8,57558.33,217437.37,274995.7,0
Nurse Manager,180617.0,0.0,34317.23,56296.2,214934.23,271230.43,0
Nurse Practitioner,176364.78,15733.2,18376.26,59203.51,210474.24,269677.75,0
Nurse Practitioner,188876.0,22234.59,250.0,57985.48,211360.59,269346.07,0
Nurse Manager,180617.01,0.0,32113.6,54972.84,212730.61,267703.45,0
Nurse Manager,171337.5,0.0,39950.65,55954.55,211288.15,267242.7,0
Nurse Practitioner,174784.66,16275.76,16852.07,58341.08,207912.49,266253.57,0
Nurse Manager,186242.04,0.0,19651.24,59710.73,205893.28,265604.01,0
Nurse Manager,174462.0,0.0,33147.78,56742.91,207609.78,264352.69,0
Nurse Manager,178006.18,0.0,30318.58,55654.16,208324.76,263978.92,0
Nurse Manager,184398.86,9358.18,12965.48,56187.9,206722.52,262910.42,0
Nurse Manager,186242.04,0.0,18624.2,57617.72,204866.24,262483.96,0
Nurse Manager,186242.01,0.0,18624.2,57423.34,204866.21,262289.55,0
Nurse Manager,175179.0,0.0,32078.19,55018.62,207257.19,262275.81,0
Nurse Manager,185867.21,0.0,18586.72,57499.18,204453.93,261953.11,0
Nurse Manager,175179.0,0.0,31195.06,55190.58,206374.06,261564.64,0
Nurse Manager,185489.5,0.0,18548.95,57445.35,204038.45,261483.8,0
Nurse Manager,184780.03,0.0,19248.0,57447.53,204028.03,261475.56,0
Nurse Practitioner,188876.02,0.0,11173.5,60533.4,200049.52,260582.92,0
Nurse Manager,179063.91,1100.4,25086.89,54260.45,205251.2,259511.65,0
Nurse Manager,175179.0,2009.7,24257.1,57033.11,201445.8,258478.91,0
Nursing Supervisor,176932.68,4245.15,21843.5,54551.52,203021.33,257572.85,1
Nursing Supervisor,182625.7,0.0,20726.34,54198.51,203352.04,257550.55,0
Nursing Supervisor,199104.0,0.0,0.0,58377.97,199104.0,257481.97,0
Nurse Manager,170027.03,0.0,31557.41,54815.19,201584.44,256399.63,0
Nurse Manager,180617.0,0.0,21691.6,53674.24,202308.6,255982.84,0
Nurse Manager,170027.0,0.0,31643.88,53931.79,201670.88,255602.67,0
Nursing Supervisor,180906.58,0.0,18090.66,56205.61,198997.24,255202.85,0
Nurse Manager,186242.0,0.0,14693.31,53640.08,200935.31,254575.39,0
Nurse Manager,168737.9,0.0,32060.2,53530.32,200798.1,254328.42,0
Nurse Manager,179753.01,0.0,17975.3,55640.04,197728.31,253368.35,0
Nurse Practitioner,174838.84,8782.12,12217.59,57046.75,195838.55,252885.3,0
Nurse Manager,177931.79,0.0,17793.27,55650.28,195725.06,251375.34,0
Nurse Manager,175179.03,0.0,17517.91,56945.65,192696.94,249642.59,0
Nurse Manager,186242.0,0.0,8332.74,53750.6,194574.74,248325.34,0
Nurse Practitioner,172424.34,9650.17,10246.41,55504.36,192320.92,247825.28,0
Clinical Nurse Specialist,188928.02,0.0,250.0,57997.65,189178.02,247175.67,0
Clinical Nurse Specialist,188928.0,0.0,250.0,57997.65,189178.0,247175.65,0
Clinical Nurse Specialist,188928.0,0.0,250.0,57997.65,189178.0,247175.65,0
Clinical Nurse Specialist,188928.0,0.0,250.0,57997.65,189178.0,247175.65,0
Clinical Nurse Specialist,188928.06,0.0,250.0,57995.63,189178.06,247173.69,0
Clinical Nurse Specialist,188899.52,0.0,250.0,57987.37,189149.52,247136.89,0
Nurse Practitioner,183200.08,6856.4,368.38,56687.54,190424.86,247112.4,0
Nurse Practitioner,188876.07,0.0,250.0,57985.54,189126.07,247111.61,0
Nurse Manager,175179.0,0.0,19450.81,52044.42,194629.81,246674.23,0
Nursing Supervisor,173080.27,0.0,19637.81,53829.51,192718.08,246547.59,0
Nurse Practitioner,169812.17,12621.33,8298.07,55186.15,190731.57,245917.72,0
Nurse Manager,180271.68,0.0,9888.07,54495.88,190159.75,244655.63,0
Nurse Practitioner,177675.0,0.0,11568.34,55369.0,189243.34,244612.34,0
Nurse Manager,179473.01,0.0,11613.59,53378.57,191086.6,244465.17,0
Nursing Supervisor,171228.0,0.0,17122.8,55975.81,188350.8,244326.61,0
Nurse Practitioner,185889.41,0.0,415.88,57210.45,186305.29,243515.74,0
Clinical Nurse Specialist,185586.27,0.0,250.0,57030.33,185836.27,242866.6,0
Nurse Practitioner,183200.06,0.0,2179.44,57111.04,185379.5,242490.54,0
Clinical Nurse Specialist,183148.0,2079.15,250.0,56647.36,185477.15,242124.51,0
Nurse Manager,166067.0,0.0,22997.22,52885.71,189064.22,241949.93,0
Nurse Practitioner,180581.22,0.0,3951.52,56794.28,184532.74,241327.02,0
Nurse Practitioner,183200.0,1174.69,250.0,56659.57,184624.69,241284.26,0
Nurse Manager,159988.0,0.0,29847.1,51348.77,189835.1,241183.87,0
Nurse Practitioner,164033.5,24633.99,285.05,51830.38,188952.54,240782.92,0
Nurse Practitioner,154281.26,12909.46,17952.11,55634.37,185142.83,240777.2,0
Nurse Practitioner,169467.47,9081.8,7150.9,55039.31,185700.17,240739.48,0
Nurse Manager,164849.0,0.0,23078.87,52554.89,187927.87,240482.76,0
Nurse Manager,186242.06,0.0,0.0,53802.49,186242.06,240044.55,0
Nurse Manager,186242.04,0.0,0.0,53640.08,186242.04,239882.12,0
Nurse Practitioner,183200.03,0.0,0.0,56659.57,183200.03,239859.6,0
Nurse Practitioner,182815.84,0.0,250.0,56539.99,183065.84,239605.83,0
Nurse Practitioner,178953.11,0.0,4099.09,56482.66,183052.2,239534.86,0
Nurse Practitioner,177496.16,0.0,4684.91,56349.82,182181.07,238530.89,0
Nurse Practitioner,177160.0,645.92,4014.78,56090.37,181820.7,237911.07,0
Registered Nurse,141460.24,8038.51,33455.07,54841.27,182953.82,237795.09,0
Registered Nurse,140912.1,10095.33,31986.63,54715.91,182994.06,237709.97,0
Nurse Practitioner,181524.61,0.0,250.0,55714.11,181774.61,237488.72,0
Nurse Manager,169967.61,0.0,14913.47,52583.23,184881.08,237464.31,0
Nurse Manager,169967.62,0.0,14814.91,52483.74,184782.53,237266.27,0
Registered Nurse,139271.4,12944.5,30730.78,53751.69,182946.68,236698.37,0
Nurse Manager,173701.5,0.0,10226.86,52124.82,183928.36,236053.18,0
Nurse Practitioner,179986.43,0.0,250.0,55665.08,180236.43,235901.51,0
Registered Nurse,141482.0,8988.01,33050.05,52376.42,183520.06,235896.48,0
Clinical Nurse Specialist,177426.51,1792.66,1149.27,55497.71,180368.44,235866.15,0
Nurse Manager,171473.82,0.0,13809.71,50518.75,185283.53,235802.28,0
Nurse Manager,155382.0,0.0,30041.79,50367.7,185423.79,235791.49,0
Nurse Practitioner,175128.96,0.0,4515.56,55780.01,179644.52,235424.53,0
Nurse Manager,155382.0,0.0,29522.58,50083.38,184904.58,234987.96,0
Nurse Practitioner,172337.0,0.0,5223.03,57062.22,177560.03,234622.25,0
Nurse Manager,165838.5,0.0,16622.72,51700.71,182461.22,234161.93,1
Registered Nurse,141482.0,6082.63,34441.51,52044.82,182006.14,234050.96,0
Nurse Manager,164849.0,0.0,16484.9,52591.78,181333.9,233925.68,0
Clinical Nurse Specialist,177597.0,496.58,250.0,55350.63,178343.58,233694.21,0
Nurse Practitioner,161747.09,12746.65,7095.83,52023.39,181589.57,233612.96,1
Registered Nurse,141482.0,11361.77,32774.95,47932.59,185618.72,233551.31,0
Nurse Practitioner,177675.02,0.0,250.0,55369.0,177925.02,233294.02,0
Nurse Practitioner,177675.04,0.0,250.0,55364.2,177925.04,233289.24,0
Nurse Manager,180617.03,0.0,0.0,52438.73,180617.03,233055.76,0
Nurse Manager,180587.68,0.0,0.0,52430.09,180587.68,233017.77,0
Nurse Practitioner,159313.31,0.0,19916.82,53002.77,179230.13,232232.9,1
Registered Nurse,141482.0,8076.72,30190.57,52016.3,179749.29,231765.59,0
Nurse Practitioner,170030.39,2421.42,4798.91,54442.87,177250.72,231693.59,0
Nurse Manager,163100.63,0.0,16310.06,52191.35,179410.69,231602.04,0
Registered Nurse,139937.06,7376.87,30270.95,53828.91,177584.88,231413.79,0
Registered Nurse,141482.0,7121.89,35542.17,46811.93,184146.06,230957.99,0
Registered Nurse,139828.0,10398.86,27315.01,53174.99,177541.87,230716.86,0
Nurse Practitioner,158254.81,4457.85,15152.29,52787.12,177864.95,230652.07,1
Registered Nurse,140658.01,12752.59,37103.04,39908.23,190513.64,230421.87,0
Registered Nurse,140954.5,7919.45,27232.89,53581.54,176106.84,229688.38,0
Nurse Practitioner,168149.0,2343.11,5307.88,53808.45,175799.99,229608.44,0
Nurse Practitioner,174437.07,0.0,250.0,54603.76,174687.07,229290.83,0
Nurse Manager,155382.0,0.0,21753.48,51629.89,177135.48,228765.37,0
Nurse Manager,164849.01,0.0,14836.41,49071.0,179685.42,228756.42,0
Nurse Practitioner,172337.04,0.0,1450.0,54417.88,173787.04,228204.92,0
Registered Nurse,141482.0,9282.37,31105.99,46274.76,181870.36,228145.12,0
Nurse Manager,155996.03,0.0,19052.04,53023.79,175048.07,228071.86,0
Registered Nurse,141482.0,8988.0,27772.79,49737.29,178242.79,227980.08,0
Nurse Practitioner,169284.94,3878.82,1874.14,52851.71,175037.9,227889.61,1
Nurse Manager,150542.71,0.0,28093.8,49247.11,178636.51,227883.62,0
Nurse Manager,175179.03,0.0,770.0,51437.21,175949.03,227386.24,0
Nurse Practitioner,170509.13,992.7,1431.16,53943.98,172932.99,226876.97,0
Registered Nurse,138760.0,10715.72,24894.06,52076.34,174369.78,226446.12,0
Nurse Practitioner,160300.09,0.0,16472.33,49577.11,176772.42,226349.53,1
Nurse Practitioner,171057.08,0.0,1433.12,53578.65,172490.2,226068.85,0
Registered Nurse,138138.4,16085.49,32552.01,38418.99,186775.9,225194.89,0
Nurse Practitioner,164880.03,8787.17,318.28,51004.76,173985.48,224990.24,1
Registered Nurse,141482.0,8899.72,29554.82,44918.12,179936.54,224854.66,0
Nurse Manager,148944.3,0.0,26771.49,48861.34,175715.79,224577.13,0
Registered Nurse,140525.83,8400.26,23137.12,52268.2,172063.21,224331.41,0
Nurse Practitioner,156932.91,8342.11,7833.52,51047.14,173108.54,224155.68,1
Nurse Manager,172794.05,0.0,735.0,50322.2,173529.05,223851.25,0
Registered Nurse,140427.01,6020.44,24612.18,52422.02,171059.63,223481.65,0
Registered Nurse,141482.0,8249.73,21731.85,51990.99,171463.58,223454.57,0
Registered Nurse,139166.51,9088.24,28662.59,46404.87,176917.34,223322.21,0
Registered Nurse,134145.0,9580.07,32918.63,46517.54,176643.7,223161.24,0
Registered Nurse,137275.43,10815.14,26752.99,48161.65,174843.56,223005.21,0
Nurse Practitioner,168457.06,0.0,1400.0,53107.08,169857.06,222964.14,0
Nurse Practitioner,168036.74,0.0,1550.0,53304.55,169586.74,222891.29,0
